metric,metric_label,benchathon_llm__pearson,benchathon_llm__spearman,benchathon_llm__n,zjs_llm__pearson,zjs_llm__spearman,zjs_llm__n,grundprinzipien_llm__pearson,grundprinzipien_llm__spearman,grundprinzipien_llm__n,benchathon_human_trad__pearson,benchathon_human_trad__spearman,benchathon_human_trad__n,benchathon_human_cocreat__pearson,benchathon_human_cocreat__spearman,benchathon_human_cocreat__n
bleu,BLEU,0.582954,0.610729,180,0.418175,0.489841,6959,0.134703,0.196911,6365,0.349109,0.452187,65,0.272246,0.183690,155
rouge,ROUGE,0.694013,0.659425,180,0.520774,0.517606,6959,0.249004,0.306893,6365,0.613768,0.625861,65,0.374632,0.219771,155
meteor,METEOR,0.608862,0.596100,180,0.449999,0.484033,6959,0.278880,0.387116,6365,0.272247,0.310826,65,0.361272,0.278273,155
chrf,chrF,,,,,,,0.326009,0.420675,6365,,,,,,
bertscore,BERTScore,0.479424,0.460358,180,0.374118,0.357590,6959,0.260053,0.321716,6365,,,,,,
moverscore,MoverScore,0.622628,0.590632,180,0.490295,0.541739,6955,0.123080,0.140923,6365,0.375159,0.402358,16,0.610022,0.448857,28
semantic_similarity,Semantic similarity,0.279509,0.251223,180,0.193483,0.191338,6959,0.152590,0.187000,6365,0.197858,0.070744,16,0.365378,0.464383,29
coherence,Coherence,-0.238197,-0.178990,172,,,,,,,-0.180052,-0.179434,65,-0.304855,-0.281257,155
