dataset,group_or_system,n_generations,n_human_grades,judge_raw [95% CI],grade_points [95% CI],pass_rate [95% CI],human_raw [95% CI],human_grade_points [95% CI],human_pass_rate [95% CI],accuracy [95% CI],bleu [95% CI],rouge [95% CI],meteor [95% CI],chrf [95% CI],bertscore [95% CI],moverscore [95% CI],semantic_similarity [95% CI],coherence [95% CI]
zjs,gemini-3.1-flash-lite-preview,579,,"44.6 [43.8, 45.4]","3.48 [3.32, 3.64]","26.3% [22.8, 29.9]",,,,,"0.004 [0.003, 0.004]","0.108 [0.106, 0.110]","0.073 [0.071, 0.075]",,"0.308 [0.303, 0.313]","0.896 [0.895, 0.897]","0.762 [0.754, 0.770]",
zjs,Qwen/Qwen3.5-122B-A10B,863,,"41.4 [40.7, 42.1]","3.09 [2.98, 3.20]","19.2% [16.6, 21.9]",,,,,"0.014 [0.013, 0.015]","0.121 [0.118, 0.123]","0.108 [0.105, 0.111]",,"0.313 [0.308, 0.317]","0.900 [0.899, 0.901]","0.756 [0.748, 0.763]",
zjs,Qwen/Qwen3.6-35B-A3B,829,,"37.9 [37.2, 38.6]","2.65 [2.55, 2.74]","11.1% [8.9, 13.3]",,,,,"0.008 [0.007, 0.009]","0.108 [0.106, 0.110]","0.089 [0.086, 0.091]",,"0.277 [0.273, 0.281]","0.895 [0.893, 0.896]","0.715 [0.707, 0.723]",
zjs,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,581,,"36.2 [35.5, 36.8]","2.36 [2.29, 2.44]","4.6% [3.1, 6.5]",,,,,"0.004 [0.004, 0.005]","0.108 [0.106, 0.111]","0.077 [0.074, 0.079]",,"0.297 [0.291, 0.303]","0.887 [0.886, 0.888]","0.749 [0.740, 0.758]",
zjs,Qwen/Qwen3-235B-A22B-Thinking-2507,656,,"35.3 [34.6, 36.0]","2.35 [2.27, 2.44]","5.5% [4.0, 7.3]",,,,,"0.006 [0.005, 0.007]","0.106 [0.104, 0.108]","0.078 [0.076, 0.080]",,"0.267 [0.263, 0.272]","0.881 [0.880, 0.882]","0.722 [0.713, 0.729]",
grundprinzipien,gemini-3.1-pro-preview,531,,"83.2 [81.4, 85.1]",,"87.0% [84.0, 89.8]",,,,"83.4% [80.2, 86.4]","0.033 [0.030, 0.036]","0.164 [0.160, 0.169]","0.212 [0.204, 0.220]","0.414 [0.407, 0.420]","0.250 [0.244, 0.257]","0.840 [0.838, 0.842]","0.745 [0.737, 0.752]",
grundprinzipien,claude-opus-4-7,531,,"83.1 [81.2, 85.1]",,"85.9% [82.9, 88.7]",,,,"81.0% [77.6, 84.2]","0.030 [0.028, 0.033]","0.159 [0.155, 0.164]","0.210 [0.203, 0.217]","0.415 [0.409, 0.422]","0.247 [0.240, 0.254]","0.838 [0.836, 0.840]","0.740 [0.732, 0.749]",
grundprinzipien,claude-sonnet-4-6,531,,"81.6 [79.5, 83.6]",,"82.9% [79.5, 85.9]",,,,"80.6% [77.2, 83.8]","0.028 [0.026, 0.031]","0.147 [0.143, 0.150]","0.233 [0.227, 0.240]","0.425 [0.419, 0.431]","0.220 [0.213, 0.226]","0.843 [0.841, 0.845]","0.729 [0.720, 0.738]",
grundprinzipien,gpt-5.4,531,,"80.3 [78.1, 82.3]",,"81.5% [78.2, 84.7]",,,,"78.7% [75.1, 81.9]","0.031 [0.029, 0.034]","0.160 [0.156, 0.165]","0.210 [0.203, 0.217]","0.421 [0.415, 0.427]","0.249 [0.243, 0.256]","0.845 [0.843, 0.847]","0.758 [0.750, 0.767]",
grundprinzipien,deepseek-ai/DeepSeek-V4-Pro,531,,"73.5 [71.3, 75.9]",,"72.7% [69.1, 76.6]",,,,"72.9% [69.1, 76.7]","0.030 [0.028, 0.033]","0.161 [0.157, 0.166]","0.210 [0.203, 0.217]","0.419 [0.413, 0.425]","0.245 [0.238, 0.253]","0.843 [0.841, 0.845]","0.752 [0.743, 0.761]",
grundprinzipien,gemini-3.1-flash-lite-preview,531,,"73.3 [71.2, 75.6]",,"75.5% [71.9, 79.1]",,,,"75.5% [71.9, 78.9]","0.029 [0.026, 0.032]","0.162 [0.157, 0.167]","0.187 [0.180, 0.195]","0.394 [0.387, 0.401]","0.253 [0.246, 0.260]","0.838 [0.836, 0.840]","0.753 [0.744, 0.761]",
grundprinzipien,gpt-5.4-mini,531,,"71.8 [69.3, 74.0]",,"71.6% [67.6, 75.1]",,,,"70.6% [66.9, 74.4]","0.028 [0.025, 0.030]","0.162 [0.158, 0.167]","0.177 [0.171, 0.184]","0.380 [0.373, 0.387]","0.250 [0.243, 0.257]","0.839 [0.837, 0.841]","0.755 [0.746, 0.763]",
grundprinzipien,deepseek-ai/DeepSeek-V4-Flash,530,,"70.7 [68.4, 73.1]",,"73.4% [69.6, 77.0]",,,,"68.9% [64.9, 72.6]","0.031 [0.029, 0.034]","0.164 [0.159, 0.168]","0.209 [0.203, 0.216]","0.412 [0.406, 0.418]","0.249 [0.242, 0.256]","0.841 [0.839, 0.843]","0.749 [0.741, 0.757]",
grundprinzipien,meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8,531,,"70.1 [67.6, 72.3]",,"75.0% [71.2, 78.5]",,,,"77.0% [73.4, 80.8]","0.035 [0.032, 0.038]","0.175 [0.171, 0.181]","0.199 [0.192, 0.207]","0.388 [0.380, 0.395]","0.254 [0.247, 0.262]","0.845 [0.843, 0.847]","0.747 [0.737, 0.756]",
grundprinzipien,Qwen/Qwen3.5-122B-A10B,526,,"69.8 [67.4, 72.1]",,"75.3% [71.5, 78.7]",,,,"77.6% [74.0, 80.8]","0.026 [0.023, 0.030]","0.165 [0.159, 0.170]","0.157 [0.149, 0.165]","0.326 [0.318, 0.335]","0.252 [0.243, 0.260]","0.827 [0.824, 0.829]","0.742 [0.733, 0.751]",
grundprinzipien,Qwen/Qwen3.6-35B-A3B,531,,"69.5 [67.1, 72.0]",,"68.9% [65.2, 72.7]",,,,"70.6% [66.9, 74.2]","0.027 [0.024, 0.029]","0.154 [0.150, 0.159]","0.181 [0.174, 0.189]","0.387 [0.380, 0.394]","0.239 [0.232, 0.247]","0.834 [0.832, 0.836]","0.747 [0.739, 0.755]",
grundprinzipien,Qwen/Qwen3-235B-A22B-Thinking-2507,531,,"67.3 [64.9, 69.8]",,"69.5% [65.5, 73.4]",,,,"72.7% [68.9, 76.5]","0.025 [0.023, 0.027]","0.156 [0.152, 0.161]","0.167 [0.161, 0.174]","0.374 [0.367, 0.382]","0.241 [0.234, 0.248]","0.824 [0.822, 0.826]","0.740 [0.731, 0.749]",
